" Year","Teachers in each type of school","Type of school"
" 2005","2352434","Total No. ofTeachers in allWomen"
" 2006","2457953","Total No. ofTeachers in allWomen"
" 2007","NA","Total No. ofTeachers in allWomen"
" 2008","2615791","Total No. ofTeachers in allWomen"
" 2009","NA","Total No. ofTeachers in allWomen"
" 2001","72919","Universities"
" 2002","NA","Universities"
" 2003","NA","Universities"
" 2004","NA","Universities"
" 2005","NA","Universities"
" 2006","NA","Universities"
" 2007","96402","Universities"
" 2008","NA","Universities"
" 2009","NA","Universities"
" 2001","358574","Affiliated Colleges"
" 2002","NA","Affiliated Colleges"
" 2003","NA","Affiliated Colleges"
" 2004","NA","Affiliated Colleges"
" 2005","NA","Affiliated Colleges"
" 2006","NA","Affiliated Colleges"
" 2007","556263","Affiliated Colleges"
" 2008","NA","Affiliated Colleges"
" 2009","NA","Affiliated Colleges"
" 2001","431493","    Total"
" 2002","NA","    Total"
" 2003","NA","    Total"
" 2004","NA","    Total"
" 2005","NA","    Total"
" 2006","NA","    Total"
" 2007","652665","    Total"
" 2008","NA","    Total"
" 2009","NA","    Total"
